"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"301 - Eindom Participações - Adm/Financeiro";"2.04.03.05 - INSS Terceiros PJ";"DARF.RET INSS 01.2023";"1988";"1/1";"00";"07/03/2023";"3.382,05";"10/03/2023";"0,00";"0";"10/03/2023";"3.382,05";"223,55";"0,00";"3.605,60";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"301 - Eindom Participações - Adm/Financeiro";"2.04.03.05 - INSS Terceiros PJ";"DARF.RET INSS 02.2023";"2211";"1/1";"00";"28/02/2023";"2.296,35";"27/03/2023";"0,00";"0";"27/03/2023";"2.296,35";"53,04";"0,00";"2.349,39";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"301 - Eindom Participações - Adm/Financeiro";"2.04.03.05 - INSS Terceiros PJ";"DARF.Ret INSS 03.2023";"2420";"1/1";"00";"31/03/2023";"3.566,57";"20/04/2023";"0,00";"0";"19/04/2023";"3.566,57";"0,00";"0,00";"3.566,57";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"301 - Eindom Participações - Adm/Financeiro";"2.03.03.01 - Multas e Acréscimos";"GUIA.30032023";"2506";"1/1";"00";"30/03/2023";"250,00";"30/03/2023";"0,00";"0";"30/03/2023";"250,00";"0,00";"0,00";"250,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"301 - Eindom Participações - Adm/Financeiro";"2.04.03.05 - INSS Terceiros PJ";"DARF.RET INSS 04.2023";"2929";"1/1";"00";"30/04/2023";"2.947,67";"19/05/2023";"0,00";"0";"15/05/2023";"2.947,67";"0,00";"0,00";"2.947,67";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"301 - Eindom Participações - Adm/Financeiro";"2.04.03.05 - INSS Terceiros PJ";"DARF.Ret INSS 05/2023";"3325";"1/1";"00";"31/05/2023";"234,91";"20/06/2023";"0,00";"0";"20/06/2023";"234,91";"0,00";"0,01";"234,90";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"301 - Eindom Participações - Adm/Financeiro";"2.04.03.05 - INSS Terceiros PJ";"DARF.INSS 2631 - 08/2023";"5025";"1/1";"00";"31/08/2023";"137,50";"20/09/2023";"0,00";"1";"21/09/2023";"137,50";"0,00";"0,00";"137,50";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"53 - BROADCAST SERVICOS DE MANUTENCAO E SOLUCOES EM TI LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.09.13 - Suporte técnico de informática";"NFS .1754";"1842";"1/1";"00";"16/02/2023";"10.288,00";"28/02/2023";"0,00";"0";"28/02/2023";"10.288,00";"0,00";"0,00";"10.288,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"53 - BROADCAST SERVICOS DE MANUTENCAO E SOLUCOES EM TI LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.09.13 - Suporte técnico de informática";"NFE .855";"2008";"1/1";"00";"27/02/2023";"21.564,00";"20/03/2023";"0,00";"0";"20/03/2023";"21.564,00";"0,00";"0,00";"21.564,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"53 - BROADCAST SERVICOS DE MANUTENCAO E SOLUCOES EM TI LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.09.13 - Suporte técnico de informática";"NFE .856";"2009";"1/1";"00";"27/02/2023";"4.295,00";"20/03/2023";"0,00";"0";"20/03/2023";"4.295,00";"0,00";"0,00";"4.295,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"53 - BROADCAST SERVICOS DE MANUTENCAO E SOLUCOES EM TI LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.09.13 - Suporte técnico de informática";"ND  .042023";"2910";"1/1";"00";"01/05/2023";"1.197,40";"05/05/2023";"0,00";"0";"05/05/2023";"1.197,40";"0,00";"0,00";"1.197,40";"";"";"";"";"";"";
